oversubscription,failure_rate_per_node_day,n_pool,productive_accelerators,productive_per_pool
1.0,0.015,4351,3048.4844093990846,0.7006399470004792
1.0,0.015,4483,3131.1622936300046,0.6984524411398627
1.0,0.015,4615,3213.363153936214,0.6962867072451168
1.0,0.015,4747,3295.0916424979473,0.6941419091000521
1.0,0.015,4879,3376.3522791361383,0.6920172738545067
1.0,0.015,5010,3457.149459703781,0.6900497923560441
1.0,0.015,5142,3537.4874636922414,0.6879594445142437
1.0,0.015,5274,3617.370461145922,0.6858874594512556
1.0,0.015,5406,3696.802518964948,0.6838332443516367
1.0,0.015,5538,3775.7876066647314,0.68179624533491
1.0,0.015,5670,3854.32960165213,0.6797759438539912
1.0,0.015,5801,3932.4322940699776,0.6778886905826543
1.0,0.015,5933,4010.0993912549698,0.675897419729474
1.0,0.015,6065,4087.3345218485783,0.6739216029428818
1.0,0.015,6197,4164.1412395955695,0.6719608261409665
1.0,0.015,6329,4240.523026860579,0.6700146985085447
1.0,0.015,6724,4466.965745624571,0.6643316099977055
1.0,0.015,7252,4763.362273768197,0.6568342903706835
1.0,0.015,7779,5053.367696984482,0.6496166212860884
1.0,0.015,8306,5337.167427748992,0.6425677134299292
1.0,0.015,8834,5614.935992358079,0.6356051610095176
1.0,0.015,9493,5953.915894029026,0.6271901289401692
1.0,0.015,10152,6283.837822429804,0.6189753568193266
1.0,0.015,10811,6605.355966764114,0.6109847346928234
1.0,0.015,11602,6980.234504896894,0.6016406227285721
1.0,0.015,12393,7343.589384108213,0.5925594597037209
1.0,0.015,13316,7753.302301432811,0.5822546035921305
1.0,0.015,14239,8148.676540377408,0.5722787092055206
1.0,0.015,15294,8583.514352970908,0.561234101802727
1.0,0.015,16349,9000.799147384674,0.5505412653608585
1.0,0.015,17403,9401.62710001517,0.5402302534054572
1.0,0.015,18722,9880.381378621034,0.5277417678998523
1.0,0.015,20040,10335.417317046547,0.515739387078171
1.0,0.015,21359,10768.284410837154,0.5041567681463155
1.0,0.015,22941,11259.67933360239,0.4908103105183902
1.0,0.015,24523,11722.519814576872,0.4780214416905302
1.0,0.015,26237,12193.333469144096,0.4647380976919654
1.0,0.015,28082,12667.323794232772,0.4510833912909612
1.0,0.015,30060,13139.336792690208,0.43710368571823716
1.0,0.015,32038,13576.954099578375,0.4237765809219794
1.0,0.015,34411,14060.15872901749,0.40859488910573627
1.0,0.015,36784,14500.798862242527,0.39421484510228705
1.0,0.015,39289,14923.623624778504,0.3798422872757898
1.0,0.015,42057,15344.659857416644,0.3648538853797618
1.0,0.015,44958,15738.195799860092,0.35006441122514553
1.0,0.015,48122,16117.220531530056,0.33492416216138265
1.0,0.015,51550,16474.476699750063,0.3195824772017471
1.0,0.015,55110,16792.86014019205,0.30471529922322715
1.0,0.015,59065,17090.703860971724,0.2893541667818797
1.0,0.015,63152,17343.77061588179,0.2746353340493063
1.0,0.015,67503,17559.389967800762,0.26012754940966715
1.0,0.015,72249,17739.64981484747,0.24553488373330387
1.0,0.015,77391,17878.77595877679,0.2310188001030713
1.0,0.015,82796,17971.233794723103,0.21705437212815962
1.0,0.015,88597,18018.547681828168,0.20337649899915536
1.0,0.015,94793,18019.07702111406,0.1900886882060285
1.0,0.015,101385,17972.621377673953,0.17727101028430195
1.0,0.015,108505,17878.121528416817,0.16476772064344333
1.0,0.015,116152,17735.31447933759,0.15269056477148557
1.0,0.015,124194,17548.64076309871,0.1413002299877507
1.0,0.015,132895,17314.41693687316,0.13028644371024614
1.0,0.015,135005,17253.503690716694,0.12779899774613307
4.0,0.001,4219,3210.072308451374,0.7608609406142152
4.0,0.001,4351,3305.8519997755575,0.7597913122904062
4.0,0.001,4483,3401.3933605499906,0.7587315102721371
4.0,0.001,4615,3496.697994251391,0.7576810388410381
4.0,0.001,4747,3591.767451358999,0.7566394462521591
4.0,0.001,4879,3686.6032332550317,0.7556063195849624
4.0,0.001,5010,3781.2067957254626,0.7547318953543838
4.0,0.001,5142,3875.5795521122122,0.7537105313325967
4.0,0.001,5274,3969.7228761593988,0.7526967910806596
4.0,0.001,5406,4063.6381045911417,0.7516903634093862
4.0,0.001,5538,4157.326539451986,0.7506909605366533
4.0,0.001,5670,4250.789450237648,0.7496983157385624
4.0,0.001,5801,4344.028075839022,0.7488412473433929
4.0,0.001,5933,4437.043626320323,0.7478583560290448
4.0,0.001,6065,4529.837284548855,0.7468816627450708
4.0,0.001,6197,4622.410207691928,0.7459109581558703
4.0,0.001,6329,4714.7635285946335,0.74494604654679
4.0,0.001,6724,4989.6866933391775,0.742071191751811
4.0,0.001,7252,5354.221256759627,0.7383096051792095
4.0,0.001,7779,5715.367121149101,0.7347174599754597
4.0,0.001,8306,6073.184648621331,0.7311804296437914
4.0,0.001,8834,6427.730766811874,0.7276127198111698
4.0,0.001,9493,6866.394978153722,0.7233113850367346
